"last_recorded_age","birth_year","animal_id","datetime","found_location","intake_type","intake_condition","animal_type","neutered","sex","breed","color","adopted"
0.0,2013.0,"A667159",11/13/13 4:46 PM,"17006 Hayride Cir in Del Valle (TX)","Stray","Injured","Dog","Intact","Female","German Shepherd Mix","Tan/Black","true"
0.0,2013.0,"A667160",11/13/13 4:57 PM,"2301 South Mopac in Austin (TX)","Stray","Normal","Cat","Intact","Male","Domestic Shorthair Mix","Black","false"
0.0,2013.0,"A667163",11/13/13 5:52 PM,"9329 Northgate Bld in Austin (TX)","Stray","Normal","Dog","Neutered","Female","English Bulldog","White/Brown Brindle","false"
0.0,2013.0,"A667165",11/20/13 1:58 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Male","Labrador Retriever Mix","Chocolate","false"
0.0,2013.0,"A667166",11/20/13 1:58 PM,"Austin (TX)","Owner Surrender","Normal","Dog","Neutered","Female","Labrador Retriever Mix","Black","false"
2.0,2011.0,"A667167",11/13/13 6:45 PM,"13838 The Lakes Boulevard in Pflugerville (TX)","Stray","Normal","Cat","Intact","Male","Domestic Medium Hair Mix","Orange Tabby","false"
2.0,2011.0,"A667170",11/13/13 6:51 PM,"Crystal Bend Drive in Pflugerville (TX)","Stray","Normal","Dog","Intact","Male","Cardigan Welsh Corgi/Chihuahua Shorthair","Red/White","false"
8.0,2005.0,"A667174",11/13/13 6:56 PM,"Forest Wood/Dittmar in Austin (TX)","Stray","Normal","Dog","Intact","Male","Chihuahua Shorthair Mix","Tan/White","false"
5.0,2010.0,"A667177",5/27/15 11:30 AM,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown Brindle/White","false"
5.0,2010.0,"A667177",5/27/15 11:30 AM,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown Brindle/White","false"
3.0,2010.0,"A667177",5/27/15 11:30 AM,"Austin (TX)","Public Assist","Normal","Dog","Neutered","Male","Pit Bull Mix","Brown Brindle/White","false"
